dataset,N,learningIterations,theta_sel,train_balanced_accuracy,test_balanced_accuracy,rule_population,run_start_iso,run_end_iso,duration_seconds,fit_exception
HAM10000,1000,90000,0.8,0.5083439277998183,0.5059874634856083,692,2026-01-10T04:06:27.001649,2026-01-10T04:10:52.473584,265.472,
HAM10000,1500,90000,0.8,0.5188541329956289,0.5198349089914518,1014,2026-01-10T04:11:11.114581,2026-01-10T04:17:18.766981,367.652,
HAM10000,2000,120000,0.8,0.5519890093612437,0.538732718015859,1460,2026-01-10T04:17:49.789254,2026-01-10T04:26:15.790928,506.002,
HAM10000,2500,120000,0.85,0.5142008084551363,0.5067356862463765,1859,2026-01-10T04:26:52.388449,2026-01-10T04:37:37.868837,645.48,
HAM10000,3000,120000,0.85,0.5358630673705059,0.5211441587061744,2183,2026-01-10T04:38:23.085505,2026-01-10T04:51:17.854480,774.769,
HAM10000,3500,150000,0.9,0.5431639269386638,0.5334934772910188,2602,2026-01-10T04:52:10.408391,2026-01-10T05:07:31.365676,920.956,
HAM10000,4000,150000,0.9,0.524550525767782,0.5080454964275867,2976,2026-01-10T05:08:32.822775,2026-01-10T05:26:11.534166,1058.711,
HAM10000,4500,180000,0.9,0.5415593571337481,0.5267572305781548,3279,2026-01-10T05:27:25.052864,2026-01-10T05:47:57.664773,1232.611,
HAM10000,5000,180000,0.9,0.5441268542376527,0.5250735892498044,3855,2026-01-10T05:49:18.433505,2026-01-10T06:12:27.587371,1389.153,
HAM10000,6000,200000,0.95,0.5359433113120884,0.5175885593096846,4489,2026-01-10T06:13:59.130643,2026-01-10T06:42:34.731413,1715.601,
ISIC2019,1000,90000,0.8,0.5196531709781419,0.51789506089119,609,2026-01-10T06:44:24.986431,2026-01-10T06:48:30.669968,245.684,
ISIC2019,1500,90000,0.8,0.5044580868385964,0.5051745501018621,950,2026-01-10T06:49:14.382893,2026-01-10T06:55:26.292763,371.91,
ISIC2019,2000,120000,0.8,0.5167327601185127,0.5133128912783201,1262,2026-01-10T06:56:27.591486,2026-01-10T07:04:53.263327,505.672,
ISIC2019,2500,120000,0.85,0.506663139658045,0.508010150439974,1570,2026-01-10T07:06:16.379323,2026-01-10T07:17:15.028955,658.65,
ISIC2019,3000,120000,0.85,0.5009478672985782,0.5017622094889238,1872,2026-01-10T07:18:56.618779,2026-01-10T07:32:43.450834,826.832,
ISIC2019,3500,150000,0.9,0.5066697772019455,0.5027235219732025,2319,2026-01-10T07:34:41.404951,2026-01-10T07:51:05.151913,983.747,
ISIC2019,4000,150000,0.9,0.5089087769370945,0.505206538766307,2648,2026-01-10T07:53:26.949248,2026-01-10T08:12:29.576960,1142.628,
ISIC2019,4500,180000,0.9,0.5049179862038867,0.5027874993020923,3012,2026-01-10T08:15:11.784528,2026-01-10T08:36:52.467692,1300.683,
ISIC2019,5000,180000,0.9,0.5004946054771885,0.5006568299752908,3279,2026-01-10T08:39:52.456020,2026-01-10T09:04:34.162270,1481.706,
ISIC2019,6000,200000,0.95,0.503214556003626,0.5020505796263369,4005,2026-01-10T09:07:56.815124,2026-01-10T09:38:16.081633,1819.267,
